cluster,suitability_score,suitability_category
Cluster 14,61.007877138489086,Suitable
Cluster 17,59.142704966256574,Moderately Suitable
Cluster 73,59.13560724389,Moderately Suitable
Cluster 70,59.121244321130575,Moderately Suitable
Cluster 27,58.92753698535952,Moderately Suitable
Cluster 21,58.89799888677837,Moderately Suitable
Cluster 38,58.57697637565404,Moderately Suitable
Cluster 1,58.49632980704911,Moderately Suitable
Cluster 0,58.40666339934862,Moderately Suitable
Cluster 34,58.255741101773005,Moderately Suitable
Cluster 44,58.170917636181706,Moderately Suitable
Cluster 49,57.977460898694574,Moderately Suitable
Cluster 26,57.240925352857616,Moderately Suitable
Cluster 4,56.78296256359033,Moderately Suitable
Cluster 71,56.4804324333892,Moderately Suitable
Cluster 45,56.33756884440129,Moderately Suitable
Cluster 22,56.14216237252688,Moderately Suitable
Cluster 39,55.926389861301004,Moderately Suitable
Cluster 11,55.84014781003408,Moderately Suitable
Cluster 54,55.83853561549768,Moderately Suitable
Cluster 48,55.44515626160057,Moderately Suitable
Cluster 53,55.34968002409924,Moderately Suitable
Cluster 55,55.08442242538856,Moderately Suitable
Cluster 69,54.50776477562177,Moderately Suitable
Cluster 28,54.41486978645131,Moderately Suitable
Cluster 56,53.297628168011336,Moderately Suitable
Cluster 23,53.121862989179625,Moderately Suitable
Cluster 72,53.07592524600566,Moderately Suitable
Cluster 5,52.81831984552774,Moderately Suitable
Cluster 58,52.24153741833596,Moderately Suitable
Cluster 66,50.9565724383334,Moderately Suitable
Cluster 64,50.86455376186601,Moderately Suitable
Cluster 33,50.59474972214139,Moderately Suitable
Cluster 52,50.42215409136504,Moderately Suitable
Cluster 15,50.35138064963309,Moderately Suitable
Cluster 35,50.15760632025075,Moderately Suitable
Cluster 10,50.134925805050635,Moderately Suitable
Cluster 74,49.56845300744048,Moderately Suitable
Cluster 63,49.46832228880735,Moderately Suitable
Cluster 57,48.92298677068674,Moderately Suitable
Cluster 40,48.88386828592273,Moderately Suitable
Cluster 6,48.54792923420208,Moderately Suitable
Cluster 36,47.93270626060981,Moderately Suitable
Cluster 46,47.59635922409524,Moderately Suitable
Cluster 68,46.866723729137114,Moderately Suitable
Cluster 16,45.75327175917175,Moderately Suitable
Cluster 12,45.08754058566248,Moderately Suitable
Cluster 75,45.02502182861623,Moderately Suitable
Cluster 24,44.58060979755672,Moderately Suitable
Cluster 2,44.33748125543705,Moderately Suitable
Cluster 76,42.95373099051994,Moderately Suitable
Cluster 61,42.343776185072876,Moderately Suitable
Cluster 25,42.3279525123298,Moderately Suitable
Cluster 29,41.57968918398207,Moderately Suitable
Cluster 9,41.22028831267636,Moderately Suitable
Cluster 7,40.80988644609182,Moderately Suitable
Cluster 62,40.64402350732228,Moderately Suitable
Cluster 59,40.157844389065495,Moderately Suitable
Cluster 13,39.15100679312793,Marginally Suitable
Cluster 30,38.98853655195832,Marginally Suitable
Cluster 31,38.95133020716497,Marginally Suitable
Cluster 50,38.74921663415086,Marginally Suitable
Cluster 37,38.535591274278644,Marginally Suitable
Cluster 67,38.51469715048044,Marginally Suitable
Cluster 18,36.941011172943874,Marginally Suitable
Cluster 3,36.64784778660949,Marginally Suitable
Cluster 42,36.64632907148905,Marginally Suitable
Cluster 41,36.28033438074978,Marginally Suitable
Cluster 65,33.78654680614711,Marginally Suitable
Cluster 60,33.58975355516516,Marginally Suitable
Cluster 47,33.47650347393812,Marginally Suitable
Cluster 19,33.425649765959385,Marginally Suitable
Cluster 51,31.848804778938078,Marginally Suitable
Cluster 20,30.006430335891014,Marginally Suitable
Cluster 8,29.51678385559869,Marginally Suitable
Cluster 43,29.263597445277206,Marginally Suitable
Cluster 32,27.260530446569813,Marginally Suitable
