eps,min_samples,n_clusters,noise_ratio,silhouette
0.1,5,776,0.16051698978528248,0.7231961012136064
0.1,10,456,0.29315196998123827,0.7507954151923246
0.1,15,318,0.3985824473629352,0.7784557423469595
0.1,20,220,0.49682092974775904,0.7996991513368095
0.1,25,166,0.5727016885553471,0.8144519799650202
0.1,30,125,0.6480612883051907,0.8189148332088664
0.1,35,99,0.7024181780279342,0.8443202714556562
0.1,40,77,0.7515113612674589,0.85088448238369
0.1,45,53,0.8113404210965186,0.8476572583603821
0.1,50,41,0.8520429435063581,0.8387161233586621
0.2,5,563,0.09552845528455285,0.6279026632752772
0.2,10,372,0.16864707108609547,0.6490658437121459
0.2,15,300,0.22336877214925996,0.6616907693030083
0.2,20,255,0.2803835730664999,0.6704476009528163
0.2,25,206,0.3541796956431103,0.684650521319279
0.2,30,169,0.41452991452991456,0.6924047573459228
0.2,35,148,0.4626328955597248,0.7079842827921629
0.2,40,129,0.5096935584740463,0.7248697920188782
0.2,45,105,0.5719720658745049,0.7220875860690905
0.2,50,81,0.6357098186366479,0.7282665256638172
0.30000000000000004,5,340,0.06180946424848864,0.4614110357590709
0.30000000000000004,10,224,0.10501355013550136,0.4738953791162425
0.30000000000000004,15,197,0.1288305190744215,0.48067542473383645
0.30000000000000004,20,177,0.1568688763810715,0.4972316509037682
0.30000000000000004,25,160,0.18485511778194705,0.4990514773932225
0.30000000000000004,30,146,0.2215968313529289,0.5178373161693303
0.30000000000000004,35,137,0.25573274963518866,0.5408133776737275
0.30000000000000004,40,124,0.302897644361059,0.5566872047166357
0.30000000000000004,45,109,0.353085261621847,0.5559200163796878
0.30000000000000004,50,97,0.4080675422138837,0.5686658220023076
0.4,5,235,0.044663331248697105,0.39303773902784556
0.4,10,158,0.07400458619970815,0.4150786259006993
0.4,15,130,0.09172399416301856,0.42204360994288836
0.4,20,118,0.10902647488013342,0.43701322538958254
0.4,25,108,0.12596414425682717,0.4543040545351783
0.4,30,105,0.14149468417761102,0.4627178142684339
0.4,35,103,0.15322076297686055,0.46579097704519307
0.4,40,102,0.16666666666666666,0.472282324324304
0.4,45,98,0.1947571398790911,0.4818103888528456
0.4,50,88,0.22816343548050866,0.48793590918604857
0.5,5,166,0.030644152595372107,0.3274872580424898
0.5,10,119,0.049614342297269125,0.34393282910238376
0.5,15,101,0.0658223889931207,0.3439121174918307
0.5,20,82,0.08630393996247655,0.37129992132140094
0.5,25,75,0.09537210756722952,0.37486043613633907
0.5,30,70,0.108505315822389,0.3919685686186718
0.5,35,68,0.11783406295601417,0.39821758802778195
0.5,40,71,0.12080466958515738,0.4161849373017119
0.5,45,68,0.13305190744215134,0.4182988505285617
0.5,50,62,0.15421096518657496,0.4157779187268878
0.6,5,144,0.020168855534709193,0.29456948480104755
0.6,10,98,0.037888263498019596,0.3150676644535313
0.6,15,84,0.04883260371065249,0.3161399120328142
0.6,20,73,0.06441525953721075,0.31923371580782767
0.6,25,64,0.07859078590785908,0.32960037601079406
0.6,30,59,0.08750260579528872,0.3279157454549651
0.6,35,55,0.09495518032103398,0.34646778319243815
0.6,40,52,0.10381488430268918,0.3695970982609819
0.6,45,51,0.10944340212632896,0.36397014192926536
0.6,50,46,0.1261204919741505,0.38325548300369033
0.7000000000000001,5,134,0.014488221805294976,0.2762553140910899
0.7000000000000001,10,83,0.03335417969564311,0.28883476599749836
0.7000000000000001,15,72,0.04080675422138837,0.2882760847316271
0.7000000000000001,20,57,0.05618094642484887,0.29893711888112984
0.7000000000000001,25,54,0.06352928913904524,0.3124692421676859
0.7000000000000001,30,47,0.07551594746716699,0.31286757602138227
0.7000000000000001,35,45,0.08114446529080675,0.3146824565883179
0.7000000000000001,40,43,0.0859912445278299,0.3174807439224027
0.7000000000000001,45,42,0.09073379195330415,0.3188878424890256
0.7000000000000001,50,36,0.1070460704607046,0.3086508855570566
0.8,5,109,0.012768396914738378,0.21966397408761829
0.8,10,65,0.028872211799041068,0.2352054538059777
0.8,15,56,0.036533249947884094,0.2561647415542455
0.8,20,44,0.04815509693558474,0.25553654061658626
0.8,25,41,0.053314571607254536,0.256815346954747
0.8,30,36,0.06394621638524077,0.26067456174222176
0.8,35,34,0.06920992286845945,0.2605380370925702
0.8,40,34,0.0740567021054826,0.2688509144537041
0.8,45,34,0.07473420888055034,0.2687646646428721
0.8,50,29,0.08750260579528872,0.262606824716699
0.9,5,94,0.008755472170106316,0.18547431763346575
0.9,10,59,0.02225349176568689,0.19603256866415864
0.9,15,48,0.029914529914529916,0.20997735176439264
0.9,20,40,0.03976443610589952,0.22617789623073453
0.9,25,37,0.04435063581405045,0.2274655653552401
0.9,30,33,0.05315822388993121,0.22739860416134763
0.9,35,31,0.057379612257661035,0.2260479533536669
0.9,40,28,0.0648321867834063,0.2356646604144148
0.9,45,28,0.06702105482593287,0.23684173524899627
0.9,50,26,0.07416093391703148,0.23493018474868474
1.0,5,76,0.006097560975609756,0.1591943947852888
1.0,10,48,0.017927871586408173,0.1899060773904827
1.0,15,41,0.02298311444652908,0.21117007381608596
1.0,20,32,0.03429226599958307,0.2171002492376126
1.0,25,29,0.03820095893266625,0.21893199024448562
1.0,30,27,0.04346466541588493,0.24122541667349218
1.0,35,24,0.04919741505107359,0.240064282908576
1.0,40,22,0.0535230352303523,0.24702027844991398
1.0,45,22,0.05472170106316448,0.24779804666518826
1.0,50,22,0.059776943923285385,0.25384183684125156
