individual-local-identifier,migration_index,cluster,time_spent,start_date,end_date
1_bill,1,2,77 days 22:54:00,2015-03-02 04:53:00,2015-05-19 03:47:00
2_gabbar,1,2,13 days 03:14:00,2015-03-29 01:16:00,2015-04-11 04:15:00
2_gabbar,2,3,0 days 00:30:00,2015-04-11 04:30:00,2015-04-11 04:45:00
2_gabbar,3,2,67 days 04:32:00,2015-04-11 05:00:00,2015-06-17 09:32:00
3_mogambo,1,2,3 days 01:16:00,2015-11-23 00:59:00,2015-11-26 02:00:00
3_mogambo,2,1,22 days 04:15:00,2015-11-26 02:15:00,2015-12-18 06:15:00
3_mogambo,3,2,13 days 17:30:00,2015-12-18 06:30:00,2015-12-31 13:30:00
3_mogambo,4,0,14 days 11:01:00,2016-01-01 00:00:00,2016-01-15 11:01:00
4_godfather,1,0,50 days 23:37:00,2016-02-17 01:23:00,2016-04-08 01:00:00
5_rifle,1,0,19 days 00:44:00,2016-02-25 02:16:00,2016-03-15 03:00:00
6_tkbhai,1,0,27 days 11:48:00,2016-03-05 00:27:00,2016-04-01 12:00:00
6_tkbhai,2,3,34 days 21:15:00,2016-04-01 12:15:00,2016-05-06 09:15:00
6_tkbhai,3,0,3 days 16:30:00,2016-05-06 09:30:00,2016-05-10 02:00:00
